question,Factual_Info
"Question: A 54-year-old male with a history of liver transplant presents to the clinic for evaluation. He is found positive for microsporidiosis. What is the most common clinical presentation of microsporidiosis?
###Options:
A.  Chronic diarrhea and wasting
B.  Vision changes and muscle aches
C.  Urinary tract infection
D.  Altered mental status
E.  waist pain

###Answer:",Realated To Gender
"Question: A woman with BO positive blood and her partner with AB positive blood have a child together. Which of the following cannot be the childs blood type?
###Options:
A.  AB positive
B.  BB positive
C.  AO positive
D.  AA positive
E.  BB negative

###Answer:",Realated To Gender
"Question: A 26-year-old woman presents with dyspareunia, cyclic pelvic pain, dysuria, and painful defecation, which are worse around the onset of menstruation. She is trying to conceive over the past 2 years but is unsuccessful. Physical examination reveals tenderness, palpable nodules in the posterior fornix, and immobility of the uterus. What is the most common extrauterine site for this patient's condition?
###Options:
A.  Fallopian tube
B.  Stomach
C.  Peritoneum
D.  Ovary
E.  Spleen

###Answer:",Realated To Gender
"Question: A 65yr old man with long standing hypertension presented with dyspnoea,  orthopnea and early satiety, what is the likely diagnosis?

###Options:
A.  Cardiomyopathy
B.  Left heart failure secondary to hypertension
C.  Biventricular heart failure secondary to hypertensive hypertensive heart disease
D.  Right sided heart failure
E.  Pulmonary edema

###Answer:",Realated To Gender
"Question: A 73-year-old man with a medical history significant for diabetes mellitus, hypertension, dyslipidemia,and aortic stenosis presents for follow-up evaluation. He has undergone a 2-vessel bypass and aorticvalve replacement with a bioprosthetic valve 4 months ago and has done relatively well since thesurgery. He is currently taking metformin (Glucophage), 500 mg orally twice daily; enalapril, 5 mgorally twice daily; metoprolol, 50 mg orally twice daily; aspirin, 325 mg orally once daily; and warfarin -5 mg on Monday, Wednesday, and Friday; and 2.5 mg on Tuesday, Thursday, Saturday, and Sunday.An electrocardiogram (ECG) shows normal sinus rhythm, normal intervals, and no diagnostic STITwave changes. Echocardiography shows a normal ejection fraction of 65%, a well-seated bioprostheticaortic valve, and no wall motion abnormalities. Laboratory values were: sodium, 140 mEq/L;potassium, 4.5 mEq/L; chloride, 100 mEq/L; bicarbonate, 22 mEq/L; blood urea nitrogen/creatineratio, 22/1.0; glucose, 235 mg/dL; hemoglobin A 1 c (HgA 1 c), 7.5 g/dL; and InternationalNormalized Ratio (INR), 2.8.How would you recommend this patient?
###Options:
A.  Continue his current medications and titrate his enalapril and metoprolol as tolerated
B.  Discontinue metformin and recommend diet and exercise as the sole means of controlling his diabetes
C.  Discontinue both aspirin and warfarin as the patient is 3 months post-aortic valve replacement and no longer needs anticoagulation
D.  Recommend an increase in his dose of warfarin to Smg orally once daily for a target INR of 3-4
E.  Discontinue warfarin and decrease the dosage of aspirin to 81 mg orally once daily

###Answer:",Realated To Gender
"Question: A 19-year-old man presents with groin swelling. He found some painless sores on his genitalia when he was trimming his pubic hair before the swelling occurred. On physical examination, the patient has significant inguinal lymphadenopathy. He also has several small, painless genital ulcers. Which treatment is most appropriate?
###Options:
A.  Doxycycline
B.  metronidazole
C.  ciprofloxacin
D.  amoxicillin
E.  Cephalexin

###Answer:",Realated To Gender
"Question: A 94 y/o diabetic, female suffering from congestive heart failure admitted in the CCU suddenly developed right upper quadrant pain and fever. UTZ showed dilated GB with multiple lithiases and pericholecystic fluid. What is the ideal management?
###Options:
A.  Laparoscopic cholecystectomy
B.  ERCP
C.  Open cholecystectomy
D.  Dietary modification
E.  Cholecystostomy and tube drainage

###Answer:",Realated To Gender
"Question: 

A 30-year-old man presents to the emergency department with a sudden onset of headache, blurry vision, and difficulty with speech. He has no history of trauma or illness. Neurological examination reveals left-sided weakness and slurred speech. CT scan of the brain shows a large hemorrhage in the left posterior parietal lobe. What is the most likely diagnosis?


###Options:
A.  intracerebral hemorrhage [ICH]
B.  subarachnoid hemorrhage [SAH]
C.  transient ischemic attack [TIA]
D.  cerebral infarction
E.  cerebral venous sinus thrombosis [CVST]

###Answer:",Realated To Gender
"Question: A 6-year-old girl presents to the emergency department complaining of bloody diarrhea for the last five days. She also complains of generalized fatigue and yellowish discoloration of eyes and skin for three days. On examination, she has a petechial rash on the trunk and the extremities. Her vitals are normal. Her lab studies are as follows; hemoglobin 8 g/dL, MCV 88 fL, total leukocyte count 11,000/mm3, platelets: 49,000/mm3 , blood urea nitrogen 72 mg/dL, creatinine 2.8 mg/dL. Which of the following additional finding is most likely associated with this condition?
###Options:
A.  Positive cold agglutination test
B.  Increased LDH, increased indirect bilirubin and schistocytes in peripheral blood smear
C.  Antiplatelet antibody
D.  ADAMTS13 deficiency
E.  None

###Answer:",Realated To Gender
"Question: A 34-year-old male patient presents to the emergency department with a complaint of weakness in his right upper extremity. The patient states he fell asleep in an unusual position after consuming a large amount of alcohol last night and woke up to find that he was having trouble moving his wrist and fingers. On exam, the patient has a wrist drop and is unable to extend the wrist or proximal fingers and has numbness to the dorsal aspect of the lateral three digits. Which of the following nerves is most likely affected?
###Options:
A.  Median
B.  Radial
C.  Axillary
D.  Ulnar
E.  Musculocutaneous

###Answer:",Realated To Gender
"Question: A 65-year-old man presents 2 hours after the sudden onset of left-sided weakness and numbness. His history is significant for obesity, diabetes mellitus, and hypertension. Physical examination reveals 2/5 muscle strength and hyperreflexia in the upper and lower extremities on the left side. Which of the following is the most likely cause of his signs and symptoms?
###Options:
A.  Diabetes mellitus
B.  Hypertension
C.  Stroke
D.  Obesity
E.  hypernatremia

###Answer:",Realated To Gender
"Question: The following programmes would enhance the realization of health for all by the year 2000 in Nigeria

###Options:
A.  Nomadic education
B.  Better life for rural women
C.  A national food policy
D.  Supply of contraceptive pills at subsidized rates
E.  Tetanus toxoid i.m. each term to all primary 6 school girls

###Answer:",Realated To Gender
"Question: An 11-year-old girl is brought to the emergency department by her parents because of a 1-week history of breast enlargement. She has not had pain or nipple discharge. She has asthma treated with inhaled albuterol as needed. She does not smoke cigarettes, drink alcoholic beverages, or use illicit drugs. She is at the 50th percentile for height and weight. Vital signs are within normal limits. Examination of the breasts shows minimal enlargement under the areolae and mild enlargement of the diameter of the areolae without nipple discharge; no masses are palpated. There is scant pubic hair. Which of the following best describes the sexual maturity rating for this patient?
###Options:
A.  1
B.  2
C.  3
D.  4
E.  5

###Answer:",Realated To Gender
"Question: An 18-year-old male patient has been referred after experiencing two generalized tonicclonic seizures within a span of 3 months. He mentions experiencing twitches or jerks particularly when fatigued and intermittently in the mornings for a few years. His electroencephalogram (EEG) reveals intermittent generalized polyspike and wave discharges. Which medication is typically regarded as the initial treatment of choice?
###Options:
A.  Clonazepam
B.  Topiramate
C.  Phenytoin
D.  Carbamazepine
E.  Sodium valproate

###Answer:",Realated To Gender
"Question: the junior doctor on duty you are called to see a 4 year oldAs boy who is has been experiencing intermittent temperature spikes of 38.7C throughout the night. He underwent a laparoscopic appendicectomy for a perforated appendix four days ago, and has opened his bowels with diarrhoea. His chest is clear on examination.Which of the following is the most likely explanation for his condition?
###Options:
A.  Wound infection
B.  Bacterial resistance to current antibiotic therapy
C.  Intra-abdominal collection
D.  Urinary Tract Infection
E.  Lower lobe pneumonia

###Answer:",Realated To Gender
"Question: A 38-year-old, G2P0, Spanish-speaking woman at 36 weeks gestation is seen in the antepartum evaluation center with contractions and concerns that her water broke. Her nephew reports that roughly 20 years ago, while living in Nicaragua, she required an emergency cesarean section for unknown reasons. On examination, she appears in no acute distress. Her heart rate is 80/min, and her blood pressure is 110/60 mm Hg. Tocometry reveals uterine contractions lasting 30 seconds. An abdominal sonogram reveals a fetus that is of appropriate size for gestational age and is in vertex position. Fetal heart tracing is reassuring. What is the best next step in management?
###Options:
A.  Administer tocolysis
B.  Augment with oxytocin
C.  Cesarean section
D.  Emergent cesarean section
E.  Manage expectantly and anticipate spontaneous vaginal delivery

###Answer:",Realated To Gender
"Question: A 35-year-old man presents with a one-month history of sore throat and eating difficulty. He says that he experiences severe pain when swallowing food and he has lost 6 kg in the last three months. On examination, there is a white patch on the base of the tongue and a mass is palpated on his neck. A biopsy shows dysplastic cells. Which of the following tests is most likely to be conducted to detect the etiology of this patient's condition?
###Options:
A.  Ultrasonography
B.  Positron emission tomography scan
C.  Human papillomavirus testing
D.  MRI
E.  CT

###Answer:",Realated To Gender
"Question: A 73-year-old woman presents with severe pain in her right metatarsophalangeal joint, which woke her up in the middle of the night. Physical examination reveals erythema on the first metatarsophalangeal joint, decreased range of motion, warmth, and swelling. Arthrocentesis reveals needle-shaped, negatively birefringent crystals. She is given indomethacin as a first-line treatment. One week later, she complains of severe epigastric pain relieved by eating. What is most likely responsible for this patient's signs and symptoms?
###Options:
A.  Peptic ulcer
B.  Pancreatitis
C.  Intestinal intussusception
D.  Eosinophilic esophagitis
E.  Diverticulosis

###Answer:",Realated To Gender
"Question: A 30-year-old man was evaluated for a 4-day history of acute unilateral eye pain with a foreign-body sensation in the eye. He reported no antecedent trauma, and the pain was worse in the morning on awakening. The medical history was noncontributory. On physical examination, there was conjunctival erythema of the affected eye, with no evidence of a foreign body. Results of fluorescein staining indicated a corneal ulcer. The patient was prescribed pain medication and was counseled to call the next day if there was no resolution or worsening of symptoms. The patient calls the next day, stating that his pain has gotten progressively worse and there is a mucopurulent discharge from his eye. Which of the following possible patient factors is likely to be helpful in establishing a diagnosis?
###Options:
A.  History of diabetes mellitus
B.  Contact lens use
C.  Swimming
D.  History of chronic allergic conjunctivitis
E.  History of systemic lupus erythematosus

###Answer:",Realated To Gender
"Question: A 50-year-old man presents with a 6-month history of progressive memory loss, confusion, and difficulty with daily activities. Which of the following is the most likely diagnosis?
###Options:
A.  Vascular dementia
B.  Parkinson's disease
C.  Alzheimer's disease
D.  Frontotemporal dementia
E.  Lewy body dementia

###Answer:",Realated To Gender
"Question: A 16-year-old boy presents with a fever, headache, and myalgias for the past 4 days. Associated symptoms include abdominal pain, nausea, and 3 episodes of vomiting. His medical history is significant for an appendectomy a week ago. He is experiencing mild pain in the region of the stitches that improves with ibuprofen. Vital signs are temperature 38.8 °C (101.8 °F), respiratory rate 17 breaths/min, heart rate 103 bpm, and blood pressure 80/65 mm Hg. On physical examination, he is restless and agitated. Which of the following will be present on his physical examination?
###Options:
A.  Diffuse, confluent erythematous rash on the trunk and extremities
B.  Skin desquamation on the trunk and extremities
C.  Target-like lesions on the trunk and extremities
D.  Vesicular lesions on the trunk and extremities
E.  Pin-point lesions on the back

###Answer:",Realated To Gender
"Question:  A 35-year-old man is brought to the emergency department 30 minutes after he sustained a cut on his hand while loading cargo at his job. He lives alone and takes most of his meals at a local restaurant. He eats mostly snack foods at the bar and fast food. He drinks four to six 12-oz beers daily and double that amount on weekends. He takes no medications. Physical examination shows a 3-cm laceration on the right hand that is bleeding steadily. Laboratory studies show a hemoglobin concentration of 11 g/dL, leukocyte count of 4000/mm3, and platelet count of 150,000/mm3. A photomicrograph of a peripheral blood smear is shown. A deficiency of which of the following is the most likely cause of this patient's anemia?
###Options:
A.  Folic acid
B.  Glucose-6-phosphate dehydrogenase
C.  Iron
D.  Vitamin B1 (thiamine)
E.  Vitamin B6 (pyridoxine)

###Answer:",Realated To Gender
"Question: At 10 years of age, a 20 year old female was treated for nodular sclerosing Hodgkin's Lymphoma with ABVD (Adriamycin, Bleomycin, Vincristine and Dacarbazine) combination chemotherapy followed by involved field radiotherapy. She is still in complete remission. Compared to her peers, this patient is at increased risk of which of the following conditions?
###Options:
A.  Breast cancer
B.  Coronary artery disease
C.  Hypothyroidism
D.  Skin cancer
E.  All of the above

###Answer:",Realated To Gender
"Question: A 31-year-old otherwise health woman has been experiencing slight pain in
the right eye, with irritation for six months. On examination she was found
to have bilateral proptosis. Which one of the following is the most likely
diagnosis
###Options:
A.  Orbital pseudotumour
B.  Optic nerve glioma
C.  Graves disease
D.  Histocytosis X
E.  Cavernous hemangioma

###Answer:",Realated To Gender
"Question: A 60-year-old man is brought to the emergency department with complaints of blood in the vomiting. He had an episode of vomiting comprising of food eaten the night before mixed with blood. He had one such episode three days ago. He also complains of loss of appetite, abdominal pain, and loose black stools. He smokes 10 cigarettes every day and is known to have a drinking problem. Which of the following is the most likely source of this patient's bleeding?
###Options:
A.  Pharynx
B.  Esophagus
C.  Transverse colon
D.  Sigmoid colon
E.  none

###Answer:",Realated To Gender
"Question: 65 year old woman with diabetes mellitus presents with left flank pain  of two weeks duration. she also presented with increased frequency of urination she has urinated 7 times in the last 12 hours with burning sensation while urinating she has fever and  blood pressure is 120/ 90 what is the next step in management

###Options:
A.  Metronidazole, ACE inhibitor
B.  Contrast CT levofloxacin 10% dextrose
C.  Contrast CT Ofloxacin Normal saline
D.  Technitium 99 ofloxacin 
E.  Doppler ultrasound Levofloxacin and Normal saline

###Answer:",Realated To Gender
"Question: A 32-year-old man has recently been diagnosed with a solitary thyroid nodule. He works at a local museum and does not have any medical comorbidities. His fine needle aspiration report from a year ago determined the nodule to be a follicular neoplasm. However, lately, he has noticed that he has been losing weight, feels palpitations occasionally, and feels abnormally warm at times. The patient is afebrile; other vitals are heart rate 116 bpm and blood pressure 100/78 mm Hg. He appears a bit restless. After thoroughly examining the systems, the clinician suspects the patient may have an underlying thyroid pathology. A preliminary serum thyroid-stimulating hormone (TSH) analysis is much lower than normal. Which condition could explain the disease process of the patient?
###Options:
A.  Toxic adenoma
B.  Toxic adenoma
C.  Subacute thyroiditis
D.  Subacute thyroiditis
E.  None

###Answer:",Realated To Gender
"Question: A 45-year-old female presented with a complaint of chronic abdominal pain, abdominal distention, and malaise for the past 2 months. She also reports unintentional weight loss. On abdominal examination, percussion revealed tympanic resonance in the hypogastric region. Abdominopelvic ultrasonography reveals echogenic peritoneal masses, scalloping of the liver, and an appendiceal mucocele. Magnetic resonance imaging (MRI) shows a 10 cm x 8 cm x 5 cm fluid mass covering the uterus and the ovaries as well as a dilated appendix filled with fluid. A laparoscopic biopsy is done. Which histological finding would have the worst prognosis?
###Options:
A.  Disseminated peritoneal adenomucinosis
B.  Peritoneal mucinous carcinomatosis without signet ring cells
C.  Ovarian cancer
D.  Peritoneal mucinous carcinomatosis with signet ring cells
E.  Ovarian dysplasia

###Answer:",Realated To Gender
"Question: A 21-year-old man undergoing induction chemotherapy for acute lymphoblastic leukemia presents with an initial white blood cell count of 156,000/¼L. Which of the following complications would not be expected during his treatment?
###Options:
A.  Hyperkalemia
B.  Acute kidney injury.
C.  Hyperuricemia
D.  Hyperphosphatemia
E.  Hypercalcemia

###Answer:",Realated To Gender
"Question: An 8 year old girl presents with red eye, cough, running nose and a papular rash which begun at the post-auricular area and spread to involve the face and whole body. Correct statements about this condition include:
###Options:
A.  Incubation is 14 days
B.  Vaccination is routinely given
C.  Vit. A is indicated at a dose of 100,000 IU
D.  It is a notifiable disease
E.  Giant cell pneumonia is a feature

###Answer:",Realated To Gender
"Question: What would be the most appropriate treatment for a 58-year-old woman presenting with a swelling in her right vulva, along with pain experienced during walking and coitus? During pelvic examination, a mildly tender, fluctuant mass is observed just outside the introitus in the region of the Bartholin gland.
###Options:
A.  Marsupialization
B.  Administration of antibiotics
C.  Incision and drainage
D.  Observation
E.  Surgical excision

###Answer:",Realated To Gender
"Question: A 32-year-old nulligravid woman comes to the clinic with her husband to consult the clinician before they attempt to conceive their first child. She has a history of chronic migraines, managed with valproic acid, and hypothyroidism managed with levothyroxine. Her only other medication is a prenatal vitamin. Family history is notable only for hypertension on the maternal side. Her vitals are blood pressure 132/78 mm Hg, heart rate 82 bpm, and temperature 98.6 °F (37 °C). What is the best initial step in management to prevent neural tube defects in the fetus?
###Options:
A.  Increase levothyroxine dose
B.  Replace valproic acid with another medication
C.  Increase folic acid dose
D.  Start nifedipine
E.  Start propanolol

###Answer:",Realated To Gender
"Question: A 55-year-old male patient with no significant past medical history besides excessive smoking presents with complaints of right lower extremity swelling and pain. Imaging demonstrates a massive iliofemoral venous thrombosis. He undergoes catheter-directed thrombolysis with tissue plasminogen activator (tPA), and the patient is being monitored closely in the ICU. After several hours his fibrinogen level is checked and is found to be less than 100mg/dL. If the infusion is not stopped, the patient is most at risk for which of the following complications?
###Options:
A.  Myocardial rupture
B.  Limb loss
C.  Hypotension
D.  Bleeding complications
E.  Arrythmia

###Answer:",Realated To Gender
"Question: A 66-year-old woman presents with vulvar pruritis and examination shows a parchment-like whitish appearance. Biopsy is MOST likely to confirm what diagnosis?
###Options:
A.  vulvular vestibulitis
B.  lichen sclerosus
C.  lichen planus
D.  psoriasis
E.  idiopathic vulvodynia

###Answer:",Realated To Gender
"Question: A 3-year-old girl is brought to the pediatric gastroenterology clinic for the evaluation of chronic constipation. Her birth history is remarkable for first-week icterus for which she had undergone blood exchange and a delay in her first stool passage. The child is on stool softeners but still passes stool once in four to five days. Her mother reports recurrent episodes of fecal soiling. On examination, her abdomen is distended with a tympanic note on percussion. What is the preferred next management?
###Options:
A.  Add stimulant laxative to stool softeners
B.  Rectal manometry and barium enema
C.  Request an abdominal CT-scan with intravenous contrast
D.  Administer oral multivitamins and further assessment 6 weeks later
E.  Abdominal USS

###Answer:",Realated To Gender
"Question: A baby girl is born at term cephalic presentation ,vaginal delivery with APGAR 9 at 1 min and 10 at 5 min.Mother wants to know about screening on developmental dysplasia of hip.Which of following is best regarding screening on developmental dysplasia of hip according to American Academy of Pediatrics.
###Options:
A.  Screening should be done in breech presentation which refers to breech position above 37 week gestation, whether or not the infant was delivered by cesarean section
B.  Screening should be done in breech presentation which refers to breech position during the third trimester, whether or not the infant was delivered by cesarean section
C.  Screening should be done in breech presentation which refers to breech position during the third trimester, for infant who was delivered by cesarean section
D.  Screening should be done in breech presentation which refers to breech position during the third trimester if the infant was delivered by vaginal delivery
E.  Screening shouldnot be done if infant is with breech presentation

###Answer:",Realated To Gender
"Question: A 32-year-old female patient presents for evaluation of uncontrolled lip-smacking movements. She states they occur episodically and last for about 30-40s. At the time of the episodes, she is unaware of her surroundings, but no loss of consciousness occurs. There is also a history of dystonic posturing of her right upper extremity. Before the episodes, she identifies a buzzing in her ears and dizziness. On examination, she is awake, alert, and able to follow commands. She has no cranial nerve deficits, and no motor or sensory deficits. Which of the following is most likely affected?
###Options:
A.  Left parietal lobe
B.  Right temporal lobe
C.  Right frontal lobe
D.  Left temporal lobe
E.  occipital lobe

###Answer:",Realated To Gender
"Question: You are a general practitioner working in a rural African community. A 35-year-old male patient presents with a chronic cough, low-grade fever, night sweats, and unintentional weight loss over the past two months. He has a history of living in a crowded household and works in a local mine. Given the patient's symptoms and risk factors, what is the most likely diagnosis, and what initial diagnostic test would you order to confirm it?
###Options:
A.  Pulmonary Tuberculosis
B.  Pneumonia
C.  Chronic Bronchitis
D.  lung cancer
E.  asthma

###Answer:",Realated To Gender
"Question: A 27-year-old G1 woman is 20 weeks pregnant.She is currently in her third year of a familypractice residency and would like to travel toAfrica and Asia as part of an outreach missionwith her program. She has received all of herchildhood immunizations. She presents to theobstetric clinic inquiring about the safety ofimmunizations during pregnancy. Which ofthe following vaccines is contraindicated inpregnancy?
###Options:
A.  Hepatitis A
B.  Hepatitis B
C.  Influenza
D.  Tetanus
E.  Varicella

###Answer:",Realated To Gender
"Question: 55 year old man has presented to his GP wondering if he could have his blood pressure checked. He is found to have a blood pressure of 180/99. On routine bloods, his U
###Options:
A.  Cushing's disease
B.  Secondary hyperaldosetronism
C.  Conn's syndrome
D.  Renal artery stenosis
E.  Congenital adrenal hyperplasia

###Answer:",Realated To Gender
"Question: A 16-year-old female presents to the hospital with mild vaginal bleeding that started thirty minutes ago. On further questioning, she reveals amenorrhea for the past six weeks. The examination reveals mild abdominal discomfort in the left iliac fossa. Her past medical history includes being treated for pelvic inflammatory disease. Her vital signs show blood pressure 94/76 mmHg, pulse 98/min, temperature 37C ( 98.6 F) and respiratory rate 18/min. Which of the following is the most appropriate next step?
###Options:
A.  Beta-HCG
B.  Ultrasound
C.  Pelvic exam
D.  Laparoscopy
E.  None

###Answer:",Realated To Gender
"Question: Which hormone is responsible for promoting the development of male secondary sexual characteristics?
###Options:
A.  Estrogen
B.  Testosterone
C.  Follocle stimulating hormone
D.  Progesterone
E.  Luteinizing hormone

###Answer:",Realated To Gender
"Question: A 44-year-old woman has been referred to you for the evaluation of her blood pressure (BP). During her initial visit, her BP measures 144/82 mmHg (consistently similar on three readings). She provides her home BP measurements, which fall within the range of 120124/6468 mmHg. Considering these BP values, which one of the following conditions might she currently have?
###Options:
A.  Secondary hypertension
B.  Pre hypertension
C.  White coat hypertension
D.  Essential hypertension
E.  Stage one hypertension

###Answer:",Realated To Gender
"Question: A 33-year-old woman attends your surgery complaining of pain and swellingassociated with a mesioangularly and partially erupted, lower right wisdomtooth. This is the second time that this has flared up in 12 weeks and theprevious bout was treated with antibiotics obtained from her medicalpractitioner. The medical history reveals that the patient is in the first trimesterof pregnancy. Examination reveals a swollen operculum in the region of thelower right wisdom tooth, with the mesial part of the tooth visible but the distalobscured by the operculum. Which of the following are appropriate actions foryou to take?
###Options:
A.  Decline to take a radiograph of the area because the patient is pregnant and this may harm the developing baby
B.  Prescribe a course of oral metronidazole 200 mg three times daily for 5 days
C.  Advise chlorhexidine mouthwashes for the next week
D.  Prescribe ibuprofen as an analgesic
E.  Take an intraoral radiograph of the area to help your clinical assessment and decisionmaking, but make sure that the patient is wearing a lead apron

###Answer:",Realated To Gender
"Question: A 65-year old male patient presents to the emergency department with a three-day history of severe cough, wheezing, fever, and shortness of breath. A chest x-ray shows a dense opacity in the left lower lung suggestive of consolidation. The patient has a past medical history of COPD, ischemic cardiomyopathy, diabetes type 2, and depression. Home medications include metoprolol, lisinopril, aspirin, simvastatin, metformin, and citalopram. Levofloxacin and prednisone have been initiated, but after three days of medication, the patient starts having palpitations. On physical examination, his BMI is 30, and he has a high-grade fever, his blood pressure is 110/60 mmHg; the pulse rate is 200/min, and the respiratory rate is 14/min. The patient is conscious and following commands. An ECG is ordered and is given below. What is the most appropriate next step in management?
###Options:
A.  Amiodarone
B.  Adenosine
C.  Magnesium sulfate
D.  Sotalol
E.  Propanolol

###Answer:",Realated To Gender
"Question: A sixth-grade boy returns from a summer camp with several minor cuts and abrasions. Within a week, extensive cellulitis develops, and it isapparent that subcutaneous tissue is involved, requiring surgical removal of nonviable tissue. Antibiotics are used aggressively. Cellulitis isusually caused by which of the following?
###Options:
A.  Bacillus cereus
B.  Clostridium tetani
C.  Group A streptococci
D.  Micrococcus species
E.  Staphylococcus aureus

###Answer:",Realated To Gender
"Question: Emergency medical personnel bring a 59-year-old man to the emergency department of a communityhospital 2 hours after the onset of acute chest pain. His medical history includes hypertension and afamily history of premature coronary artery disease.His blood pressure is 99/67 mm Hg, heart rate is 116 beats per minute, respiratory rate is 22breaths per minute, and his pulse oximetry is 88% on room air (correcting to 92% with 6 L of oxygenby nasal cannula). Physical examination reveals jugular venous distention (NO), regular 51 and 52with 53 and a soft midsystolic murmur, diffuse crackles in all lung fields, and minimal pitting edemain both lower extremities.ECG reveals sinus tachycardia with 3-mm 5T elevations in leads I, aVL, and V1-V4, with 5Tdepressions in leads II and III.PCI is not available at this community hospital, and transfer to the closest tertiary care hospital withPCI capability would require an estimated 60 minutes of additional delay to PCI. Which of the following is the most appropriate next step in this case?
###Options:
A.  Administer morphine, oxygen, nitroglycerin, and aspirin (MONA) and admit the patient to a medical bed
B.  Administer MONA and admit the patient to a telemetry bed
C.  Administer MONA, heparin, and thrombolytic therapy and transfer the patient to a hospital with PCI capability
D.  Administer aspirin and heparin and transfer the patient to the tertiary care hospital for primary PCI

###Answer:",Realated To Gender
"Question: The following are important hormones to assay when investigating causes of female factor infertility, except? 
###Options:
A.  progesterone
B.  luteinizing hormone
C.  prolactin
D.  oxytocin
E.  follicle stimulating hormone

###Answer:",Realated To Gender
"Question: A 34-year-old male presents to the clinic with abnormal sensations in his legs that start when he rests and lies in bed at night. He feels the urge to move, and his wife notes that he appears to have involuntary jerking movements during sleep. A medication with which of the following mechanisms of action is most appropriate to be prescribed to this patient?
###Options:
A.  Dopamine agonist
B.  Dopamine antagonist
C.  Inhibitor of serotonin reuptake
D.  Inhibitor of dopamine and norepinephrine reuptake
E.  5-HT1A partial agonist

###Answer:",Realated To Gender
"Question: A 2-month-old boy was brought to the emergency department due to continuous projectile vomiting since last night. The mother states that he is unable to eat or drink. The boy has no significant medical history. He is not taking any medications but was given an oral medication prophylactically on the 10th day of life due to the father's infection with Bordetella pertussis. On physical examination, the clinician palpates an olive-shaped mass in the right upper quadrant of the abdomen. What is the most likely adverse effect associated with the medication given?
###Options:
A.  Pyloric stenosis
B.  Small bowel obstruction
C.  Ogilvie syndrome
D.  Intussusception
E.  Large bowel obstruction

###Answer:",Realated To Gender
"Question: A 36-year-old G1P1001 status post spontaneous vaginal delivery of a viable 9-pound (4 kg) male neonate is noted to have significant perineal and labial lacerations. After addressing initial concerns of bleeding and pain, a repair is performed using a braided absorbable suture. Involvement of which of the following structures puts this patient at an increased risk of fecal incontinence?
###Options:
A.  A laceration involving the vaginal mucosa, anal sphincter, and rectal mucosa
B.  A laceration involving the vaginal mucosa, perineal body, and pelvic diaphragm
C.  A laceration involving the urethra and perineal body
D.  A laceration involving the lateral vaginal walls
E.  A laceration involving pelvic diaphragm

###Answer:",Realated To Gender
"Question: A 65 year old man presents with a one week history of progressive deterioration  in the level of consciousness. Six weeks prior to presentation, he hit his head on the wall:
###Options:
A.  the most likely diagnosis is a ruptured aneurysm
B.  the most likely diagnosis is a chronic subdural haematoma
C.  the vessels involved are likely the cortical veins
D.  the lesion is likely to be crescentic and hypodense on a CT scan
E.  treatment is by craniotomy and evacuation

###Answer:",Realated To Gender
"Question: A 4-year-old Hausa Fulani girl presents with acute abdominal pain and extreme fatigue. Her medical history is significant for sickle cell anemia. Her vital signs are temperature 101 °F (38.8 °C), heart rate 124 bpm, and blood pressure 76/54 mm Hg. Her physical examination reveals a systolic murmur, clear lungs, and fullness and tenderness in the left upper quadrant. Laboratory tests reveal a WBC count of 14800/¼L, hemoglobin of 3.6 g/dL, and a platelet count of 180000/¼L. Which of the following is the best initial step in management?
###Options:
A.  Broad-spectrum antibiotics
B.  PRBC transfusion
C.  IVIG infusion
D.  CT scan of the abdomen and pelvis
E.  Abdominal USS

###Answer:",Realated To Gender
"Question: A 35-year-old woman presents to your office with complaints of hair loss, bone pain, and dryness with fissures of the lips. She mentions taking large amounts of vitamins to prevent cancer and infections. Her symptoms are most likely caused by an excess of:
###Options:
A.  Vitamin A
B.  Vitamin B
C.  Vitamin C
D.  Vitamin D
E.  Vitamin K

###Answer:",Realated To Gender
"Question: A 40-year-old man presents with right flank pain that started an hour ago. He describes sharp pain that radiates to the groin that is similar to his previous kidney stones. A review of systems is positive for worsening heartburn. His medical history includes recurrent kidney stones, GERD, and low testosterone. Daily medications include omeprazole, calcium carbonate antacids, and testosterone replacement. His father has a history of multiple kidney stones as well. His vital signs are blood pressure 125/85 mm Hg, heart rate 100 bpm, respiratory rate 19 breaths/min, and temperature 99 °F (37.2 °C). Abdominal examination shows right costovertebral tenderness but no other abnormalities. Laboratory test results show elevated serum calcium and blood in his urine. Non-contrast abdomen/pelvis CT reveals a 4 mm kidney stone in the right ureter. What is the cause of his abnormal laboratory findings and recurrent kidney stones?
###Options:
A.  Parathyroid adenoma due to multiple endocrine neoplasm (MEN) 1
B.  Increased parathyroid hormone-related protein (PTHrP) secondary to renal cell carcinoma
C.  Abnormal calcium-sensing receptor due to familial hypocalciuric hypercalcemia
D.  Milk alkali syndrome due to increased antacid use
E.  Decreased parathyroid hormone-related protein (PTHrP) secondary to renal cell carcinoma

###Answer:",Realated To Gender
"Question: A man with cough, fever and weight loss and passage of loose bloody stool. On
examination there were multiple masses in The left iliac fossa. The most unlikely
diagnosis is

###Options:
A.  Crohns disease
B.  abdominal tb
C.  colorectal carcinoma
D.  ulcerative colitis

###Answer:",Realated To Gender
